name,m_f,approx_percentage,num_in_us,rank,source_census,source_web
JEWELL,f,0.021,"31,880",584,1990,http://names.mongabay.com/female_names_alpha.htm
JI,f,0.001,"1,518",3381,1990,http://names.mongabay.com/female_names_alpha.htm
JILL,f,0.142,"215,569",159,1990,http://names.mongabay.com/female_names_alpha.htm
JILLIAN,f,0.021,"31,880",586,1990,http://names.mongabay.com/female_names_alpha.htm
JIMMIE,f,0.017,"25,808",667,1990,http://names.mongabay.com/female_names_alpha.htm
JIMMY,f,0.002,"3,036",2793,1990,http://names.mongabay.com/female_names_alpha.htm
JIN,f,0.002,"3,036",2419,1990,http://names.mongabay.com/female_names_alpha.htm
JINA,f,0.002,"3,036",2316,1990,http://names.mongabay.com/female_names_alpha.htm
JINNY,f,0.001,"1,518",4240,1990,http://names.mongabay.com/female_names_alpha.htm
JO,f,0.083,"126,002",250,1990,http://names.mongabay.com/female_names_alpha.htm
JOAN,f,0.306,"464,536",62,1990,http://names.mongabay.com/female_names_alpha.htm
JOANA,f,0.003,"4,554",2077,1990,http://names.mongabay.com/female_names_alpha.htm
JOANE,f,0.001,"1,518",3380,1990,http://names.mongabay.com/female_names_alpha.htm
JOANIE,f,0.004,"6,072",1574,1990,http://names.mongabay.com/female_names_alpha.htm
JOANN,f,0.136,"206,460",164,1990,http://names.mongabay.com/female_names_alpha.htm
JOANNA,f,0.055,"83,495",324,1990,http://names.mongabay.com/female_names_alpha.htm
JOANNE,f,0.15,"227,714",147,1990,http://names.mongabay.com/female_names_alpha.htm
JOANNIE,f,0.001,"1,518",3077,1990,http://names.mongabay.com/female_names_alpha.htm
JOAQUINA,f,0.001,"1,518",3962,1990,http://names.mongabay.com/female_names_alpha.htm
JOCELYN,f,0.019,"28,844",613,1990,http://names.mongabay.com/female_names_alpha.htm
JODEE,f,0.002,"3,036",2365,1990,http://names.mongabay.com/female_names_alpha.htm
JODI,f,0.051,"77,423",335,1990,http://names.mongabay.com/female_names_alpha.htm
JODIE,f,0.017,"25,808",663,1990,http://names.mongabay.com/female_names_alpha.htm
JODY,f,0.038,"57,687",402,1990,http://names.mongabay.com/female_names_alpha.htm
JOE,f,0.005,"7,590",1298,1990,http://names.mongabay.com/female_names_alpha.htm
JOEANN,f,0.002,"3,036",2683,1990,http://names.mongabay.com/female_names_alpha.htm
JOEL,f,0.002,"3,036",2648,1990,http://names.mongabay.com/female_names_alpha.htm
JOELLA,f,0.002,"3,036",2615,1990,http://names.mongabay.com/female_names_alpha.htm
JOELLE,f,0.005,"7,590",1326,1990,http://names.mongabay.com/female_names_alpha.htm
JOELLEN,f,0.004,"6,072",1589,1990,http://names.mongabay.com/female_names_alpha.htm
JOETTA,f,0.003,"4,554",1896,1990,http://names.mongabay.com/female_names_alpha.htm
JOETTE,f,0.001,"1,518",3803,1990,http://names.mongabay.com/female_names_alpha.htm
JOEY,f,0.003,"4,554",1895,1990,http://names.mongabay.com/female_names_alpha.htm
JOHANA,f,0.002,"3,036",2946,1990,http://names.mongabay.com/female_names_alpha.htm
JOHANNA,f,0.028,"42,507",486,1990,http://names.mongabay.com/female_names_alpha.htm
JOHANNE,f,0.001,"1,518",3642,1990,http://names.mongabay.com/female_names_alpha.htm
JOHN,f,0.012,"18,217",819,1990,http://names.mongabay.com/female_names_alpha.htm
JOHNA,f,0.001,"1,518",3168,1990,http://names.mongabay.com/female_names_alpha.htm
JOHNETTA,f,0.003,"4,554",1894,1990,http://names.mongabay.com/female_names_alpha.htm
JOHNETTE,f,0.001,"1,518",3501,1990,http://names.mongabay.com/female_names_alpha.htm
JOHNIE,f,0.003,"4,554",1939,1990,http://names.mongabay.com/female_names_alpha.htm
JOHNNA,f,0.005,"7,590",1308,1990,http://names.mongabay.com/female_names_alpha.htm
JOHNNIE,f,0.039,"59,206",391,1990,http://names.mongabay.com/female_names_alpha.htm
JOHNNY,f,0.003,"4,554",2125,1990,http://names.mongabay.com/female_names_alpha.htm
JOHNSIE,f,0.001,"1,518",3715,1990,http://names.mongabay.com/female_names_alpha.htm
JOI,f,0.003,"4,554",2012,1990,http://names.mongabay.com/female_names_alpha.htm
JOIE,f,0.001,"1,518",4239,1990,http://names.mongabay.com/female_names_alpha.htm
JOLANDA,f,0.002,"3,036",2945,1990,http://names.mongabay.com/female_names_alpha.htm
JOLEEN,f,0.004,"6,072",1679,1990,http://names.mongabay.com/female_names_alpha.htm
JOLENE,f,0.019,"28,844",624,1990,http://names.mongabay.com/female_names_alpha.htm
JOLIE,f,0.002,"3,036",2296,1990,http://names.mongabay.com/female_names_alpha.htm
